Time CPU_mW GPU_mW Total_mW
12840 4950 0 4950
12850 5005 52 5056
12860 6273 114 6387
12870 6328 228 6556
12880 7438 0 7438
12890 6626 0 6626
12900 6934 115 7048
12910 7309 159 7468
12920 7440 0 7440
12930 9034 0 9034
12940 8389 0 8389
12950 8331 0 8331
12960 8915 0 8915
12970 7603 0 7603
12980 8088 0 8088
12990 9892 0 9892
13000 9888 0 9888
13010 8258 0 8258
13020 9861 0 9861
13030 9495 0 9495
13040 10014 219 10233
13050 9064 0 9064
13060 10175 0 10175
13070 10111 0 10111
13080 9014 0 9014
13090 7997 0 7997
13100 9729 0 9729
13110 7227 0 7227
13120 8519 0 8519
13130 9578 0 9578
13140 8377 0 8377
13150 5284 0 5284
13160 6407 0 6407
13170 7690 0 7690
13180 4998 0 4998
13190 2863 0 2863
13200 3743 0 3743
13210 3557 0 3557
13220 5772 0 5772
13230 4480 0 4480
13240 3869 0 3869
13250 4642 0 4642
13260 3589 0 3589
13270 4309 0 4309
13280 4294 0 4294
13290 4784 0 4784
13300 6228 0 6228
13310 4431 0 4431
13320 5089 0 5089
13330 2108 0 2108
13340 2260 0 2260
13350 3512 0 3512
13360 4757 0 4757
13370 3892 0 3892
13380 3905 0 3905
13390 3054 61 3115
13400 2979 0 2979
13410 3948 0 3948
13420 4630 0 4630
13430 3544 0 3544
13440 4366 0 4366
13450 3371 0 3371
13460 3780 0 3780
13470 3541 0 3541
13480 5568 128 5696
13490 3359 0 3359
13500 3340 0 3340
